signature,log2FC
NUP210,-2.01394391059876
AREG,-2.01634001731873
ATP8A2,-2.05634450912476
C1orf233,-2.10661005973816
PTPRN2,-2.13580846786499
GS1-124K5.4,-2.1700918674469
HIST2H2AC,-2.32111287117004
FZD8,-2.34008240699768
KLF15,-2.38325548171997
MMP1,-2.3867723941803
KRTAP4-8,-2.3909010887146
RP11-180C1.1,-2.39835023880005
BST2,-2.46176648139954
AC011043.1,-2.47818875312805
NRIP3,-2.47952103614807
GAL,-2.48936414718628
HIST1H2AH,-2.53069567680359
MNX1-AS1,-2.55292010307312
KRTAP2-3,-2.55607199668884
IL24,-2.64943742752075
RHOD,-2.70461559295654
HS3ST3B1,-2.76699280738831
KIRREL3,-2.78429651260376
TRIML2,-2.88442420959473
DMKN,-2.88651251792908
PXMP4,-3.16213083267212
SPANXD,-3.20937418937683
VSTM1,-3.23275566101074
CLMP,-3.33881115913391
MEST,-3.43202328681946
LINC00632,-3.44221138954163
TEX41,-3.56189846992493
SEMA3E,-3.60869693756104
FCHO1,-3.61768913269043
APCDD1L,-3.68468379974365
RP11-369C8.1,-3.68936514854431
RAP1GAP2,-3.77463459968567
C5orf46,-4.10793495178223
TSPYL5,-4.11768293380737
TSTD1,-4.44202995300293
RP11-163F15.1,-4.67814922332764
CHRM3,-4.68565177917481
PLCB4,-4.8000864982605
BOLA1,-4.83706378936768
TRIM61,-4.85479640960693
SPANXC,-4.94375705718994
MAGEA6,-4.99564409255982
PDE1C,-5.07866477966309
PDE8B,-5.14819192886353
SPANXB1,-5.14893579483032
SSX1,-5.28478336334229
STXBP6,-5.36438179016113
CDH18,-5.43057203292847
RP3-460G2.2,-5.57777214050293
BCHE,-5.89946985244751
ZG16B,-6.06474590301514
RP11-774D14.1,-6.12424087524414
EPB41L3,-6.47075653076172
