signature,log2FC
SULT1E1,-7.39333963394165
COLCA2,-7.2579026222229
ZMYM2,-6.49863243103027
FABP4,-5.63800144195557
MUC15,-5.52260065078735
BCAS1,-5.35798501968384
RARB,-4.92956781387329
AC019349.5,-4.68229866027832
SPRR1B,-4.60254859924316
IVL,-4.56259632110596
SPTSSB,-4.55656242370606
ALDH1A1,-4.52215194702148
MEF2C,-4.44362258911133
PDGFD,-4.44207811355591
PPP2R2B,-4.3119592666626
SEPP1,-4.30700731277466
METTL7A,-4.25858688354492
TMPRSS11E,-4.18856763839722
EPHB6,-4.0996584892273
PCSK5,-4.08721971511841
PLCXD3,-4.02789354324341
RNF128,-4.02202606201172
CFH,-4.02150201797485
LYPD2,-4.01322317123413
KRT13,-3.92118692398071
HBE1,-3.80720329284668
CDH10,-3.73287677764893
DIO2,-3.72202801704407
TMPRSS4,-3.70757699012756
LINC01419,-3.66334772109985
RP1-124C6.1,-3.64761734008789
SLC7A7,-3.59230327606201
SEMA5A,-3.5874354839325
PCDH10,-3.39638566970825
MUC4,-3.38246941566467
AC006262.4,-3.34280204772949
CNTN5,-3.25125908851624
HPGD,-3.2217960357666
C8orf4,-3.15560173988342
CLDN8,-3.0610499382019
DEFB1,-2.97425079345703
WNT11,-2.90289282798767
CRYAB,-2.89573431015015
SPATA17,-2.87144303321838
TNFSF10,-2.84237170219421
AC006262.5,-2.8177433013916
DAPK2,-2.79729986190796
GBP2,-2.75850033760071
VILL,-2.75719118118286
CALML5,-2.72136569023132
KRT4,-2.696861743927
MUC20,-2.66554236412048
SLC16A7,-2.65709733963013
PPFIBP2,-2.65037441253662
GPRC5C,-2.64228367805481
IFITM10,-2.61007571220398
BTG2,-2.60968542098999
PLA2G10,-2.59953308105469
CNGA1,-2.58092951774597
EDIL3,-2.56060934066772
ATOH8,-2.54833722114563
ANOS1,-2.5228316783905
MAB21L3,-2.50898671150208
MAP2K6,-2.48767971992493
LINC01268,-2.48507881164551
CTSH,-2.47835302352905
ALPPL2,-2.4547758102417
PIK3IP1,-2.43826198577881
IGFBP3,-2.42265963554382
CCDC92,-2.41426587104797
AGR2,-2.413902759552
BEX4,-2.40402507781982
STON1,-2.38782501220703
CPE,-2.37377381324768
SLC2A12,-2.37227654457092
MXRA5,-2.3625922203064
ST3GAL5,-2.36128234863281
S100P,-2.33998537063599
NKX2-8,-2.33153867721558
RP11-128M1.1,-2.32637810707092
RBPMS,-2.2806408405304
LINC01021,-2.27156782150269
PBX1,-2.24568223953247
SCEL,-2.24247169494629
TRAM1L1,-2.23988342285156
SMPDL3A,-2.22637748718262
CCDC80,-2.21701788902283
PDE5A,-2.21224451065063
GCNT1,-2.19128894805908
FOLR1,-2.1897132396698
PALM,-2.18825173377991
RP11-138I17.1,-2.177241563797
CASC9,-2.17159724235535
EPB41L4A,-2.16660714149475
MMEL1,-2.14236378669739
PGM2L1,-2.12067651748657
SLC7A8,-2.10133290290833
ZNF563,-2.09886765480042
AP000695.4,-2.09182214736938
ZG16B,-2.0703706741333
TMPRSS3,-2.06744575500488
ELF3,-2.04701828956604
KLHL24,-2.03753399848938
SNHG18,-2.00404334068298
RP11-11N9.4,-1.98731338977814
LCN2,-1.98621940612793
ALDH3A1,-1.98486924171448
ST6GALNAC1,-1.98392653465271
AC073283.4,-1.96141159534454
MIR548XHG,-1.95842587947845
OLR1,-1.95760691165924
HCAR2,-1.93581247329712
PCAT6,-1.93384778499603
EPHA4,-1.9325897693634
CD24,-1.92970871925354
LUM,-1.92605996131897
GALNT5,-1.92045533657074
MMP13,-1.90825319290161
PHGR1,-1.89227032661438
SOSTDC1,-1.88889491558075
PLCE1,-1.88834428787231
SLC40A1,-1.87198150157928
DHRS3,-1.86914706230164
LYPD6B,-1.86768627166748
UPK3B,-1.86208939552307
SALL4,-1.86199021339417
C1orf21,-1.85487389564514
ANG,-1.84997987747192
PALMD,-1.84661221504211
EFNB3,-1.84119987487793
GLUL,-1.83052670955658
RNF39,-1.82777619361877
PRSS22,-1.82627654075623
FOXA1,-1.82262361049652
LMO4,-1.81356596946716
PBXIP1,-1.81210589408875
GNG7,-1.7989057302475
C1R,-1.79867577552795
VAV3,-1.7952983379364
IKZF2,-1.79474532604218
KMO,-1.78203177452087
TMEM45A,-1.77951157093048
RP11-277P12.20,-1.77489948272705
MCF2L-AS1,-1.76691555976868
ALPP,-1.76441717147827
NEBL,-1.75260138511658
FAM214A,-1.7314989566803
CCDC85A,-1.72487342357636
MAGED1,-1.72261357307434
RP11-890B15.2,-1.71897637844086
MDS2,-1.71699690818787
HTRA3,-1.71685540676117
RP11-367G18.1,-1.70907127857208
MARCH3,-1.70764517784119
KIF12,-1.70136797428131
ACKR3,-1.69120121002197
SERPINB13,-1.68108069896698
TCP11L2,-1.67210137844086
PNRC1,-1.67115652561188
KRT15,-1.64941430091858
IL1RN,-1.64712738990784
RP11-38M8.1,-1.64682078361511
SNRPN,-1.64568448066711
TMEM52B,-1.64283156394959
UNC5B-AS1,-1.64105463027954
LINC00685,-1.63281667232513
ZFP36L2,-1.63137710094452
CALCOCO1,-1.62917995452881
LMF1,-1.62839388847351
LRRC6,-1.61767399311066
HLA-DMA,-1.61728942394257
FAM84A,-1.61276519298553
ARHGAP5-AS1,-1.60373187065125
C16orf45,-1.60194170475006
TNNT3,-1.59575247764587
PLEKHH2,-1.57836151123047
LPAR6,-1.56339251995087
DRC3,-1.55307734012604
SAMD15,-1.55065560340881
LUZP2,-1.54712927341461
SCNN1A,-1.5430554151535
HOXA-AS2,-1.53685486316681
FAM134B,-1.53588330745697
ZNF608,-1.53332257270813
MMP2,-1.5198882818222
PCSK9,-1.51987636089325
TOM1L2,-1.51232826709747
WFDC2,-1.49886000156403
RP11-1275H24.1,-1.49824607372284
GATA3,-1.49533832073212
ANXA9,-1.48861610889435
MTUS1,-1.48740911483765
DLX5,-1.48024821281433
GALNT18,-1.4702262878418
SORL1,-1.46908283233643
UPK2,-1.46582555770874
RP1-27K12.2,-1.4624480009079
SOD3,-1.46167099475861
NUPR1,-1.45314359664917
TTLL1,-1.45257127285004
MT1F,-1.44209551811218
TRIM2,-1.42988431453705
TMPRSS13,-1.42892706394196
COL12A1,-1.42240989208221
ST3GAL4-AS1,-1.41981208324432
U47924.27,-1.41839981079102
TXNIP,-1.41201853752136
AKR1C2,-1.41152882575989
RP11-81A22.5,-1.41085851192474
FOSB,-1.41046726703644
WNT6,-1.40870428085327
EXOC3L4,-1.40059614181519
CTD-3074O7.5,-1.39085650444031
CDH7,-1.38820135593414
CYP2S1,-1.38642168045044
GJB6,-1.3850120306015
RARRES3,-1.38055515289307
MLLT3,-1.37805092334747
LAMB2,-1.37785911560059
IGFBP6,-1.37426126003265
MAP2,-1.36835956573486
NFKBIZ,-1.36800932884216
FGFR2,-1.36443769931793
IL20RA,-1.34890627861023
RNF207,-1.34473609924316
TTC30A,-1.34288990497589
TEX9,-1.34285306930542
NEK11,-1.34085607528687
RP11-379H18.1,-1.33350467681885
TGFB2,-1.32828772068024
SAMD9,-1.31799149513245
LBH,-1.31613910198212
SLFN5,-1.31456971168518
GPR161,-1.3126962184906
CAPNS2,-1.30990791320801
FAM171B,-1.30168449878693
DRD4,-1.30040431022644
SKIL,-1.29945456981659
SOX4,-1.29160308837891
HEG1,-1.29003357887268
HRK,-1.28882944583893
TCF7L1,-1.28508758544922
CRIP3,-1.28455233573914
AKR1C3,-1.27912187576294
LRP1,-1.27798223495483
GPNMB,-1.27633345127106
