signature,log2FC
LINC00958,4.84194850921631
LINC00973,3.73741769790649
SRGN,3.51231074333191
TGM2,3.18854188919067
RP11-350J20.12,3.10579371452332
FHL1,2.99788093566895
COL13A1,2.92357754707336
PTGS1,2.8970742225647
WIPF3,2.85257792472839
ETV4,2.83527517318726
BAIAP2L2,2.82165503501892
BATF3,2.75484108924866
EBF3,2.74880027770996
ETV1,2.71729016304016
FOSL1,2.59060263633728
MMP1,2.57028317451477
SH3PXD2A-AS1,2.42268776893616
NEURL1,2.41350984573364
ETV5,2.39189577102661
THY1,2.38623642921448
G0S2,2.38445067405701
JPH3,2.35461950302124
PPP1R1C,2.33562183380127
FST,2.33475565910339
KLRG2,2.28692603111267
PGF,2.25717163085938
LY6D,2.22263836860657
TMEM171,2.20959329605103
INA,2.20684623718262
SLC35F3,2.20462608337402
LINC00941,2.19427108764648
POLR3G,2.1930935382843
ADTRP,2.15805220603943
CCBE1,2.15020942687988
ANKRD1,2.14920282363892
KCNMA1,2.13290524482727
AJAP1,2.09260058403015
CCNA1,2.05828619003296
GAL,2.03579187393188
MICAL2,2.03323578834534
TMEM200A,2.01115226745605
HBM,2.0081479549408
SLC43A3,1.96557343006134
ABCG2,1.95213484764099
HLA-G,1.95012259483337
CCDC86,1.93054723739624
TEX40,1.91866958141327
RFTN1,1.91536974906921
KISS1R,1.90221965312958
OXTR,1.90066945552826
MT1A,1.8988379240036
NT5E,1.88344395160675
AXL,1.88217866420746
MATK,1.87318241596222
CYB5R2,1.86202895641327
IL7R,1.85113620758057
HAUS7,1.85058796405792
SERPINE2,1.83265590667725
AREG,1.80294036865234
C2orf61,1.78436422348022
ALOX12,1.76982390880585
IRAK1,1.73834824562073
BSPRY,1.7194881439209
PNO1,1.71629703044891
SMIM10,1.70787525177002
RPP40,1.70602905750275
SLC27A4,1.70303201675415
RP11-114H23.2,1.70164728164673
PAQR5,1.69492948055267
CTPS1,1.69418048858643
SCLY,1.68458068370819
RAMP1,1.68382823467255
CLDN9,1.67956840991974
MFSD2A,1.67739915847778
CTC-260E6.6,1.65367639064789
SRM,1.65294325351715
HES7,1.64765596389771
PDCD2L,1.63515293598175
KCNJ12,1.63085412979126
NTM,1.6263872385025
DDX21,1.62401390075684
PRRT3-AS1,1.61743116378784
SPANXC,1.61731028556824
TBC1D30,1.61324417591095
KAZN,1.61288249492645
PAK1IP1,1.60722482204437
CD3EAP,1.60675573348999
NRP1,1.59888470172882
FLJ36000,1.59598803520203
NME1,1.58940124511719
VPS9D1-AS1,1.58439588546753
RIOK1,1.57854783535004
NTSR1,1.57849323749542
TRPM2,1.56419563293457
ARNTL,1.5639556646347
BOP1,1.55932307243347
GALR2,1.55784428119659
NGF,1.55622661113739
IL32,1.5527720451355
MESP1,1.55047607421875
DDIAS,1.54405641555786
AEN,1.54211568832397
FUT4,1.54136943817139
HPDL,1.54124665260315
CAMK1,1.54090738296509
PAPPA,1.53754496574402
MTHFD1L,1.52538561820984
HAS2,1.52481114864349
ATAD3B,1.52472078800201
TCOF1,1.52374243736267
SOCS2,1.522416472435
LGALS9C,1.5217798948288
PPIF,1.5191478729248
FAM58A,1.51641070842743
C10orf2,1.514652967453
NAA10,1.51392924785614
NOP16,1.51355087757111
PCED1B,1.51043128967285
DKC1,1.50743401050568
ADAM8,1.50680470466614
CCNE1,1.50310587882996
DENND2A,1.50188148021698
CD163L1,1.49887943267822
SEMA3A,1.49462604522705
RHOF,1.48868322372437
GPR153,1.48636317253113
LAYN,1.48506569862366
EBI3,1.48445868492126
AC003075.4,1.48408603668213
GPAT3,1.48407995700836
CYCS,1.47954845428467
STAMBPL1,1.47186994552612
ACTL10,1.46842527389526
FJX1,1.4679878950119
ATAD3C,1.46436715126038
NSMF,1.45613765716553
ELFN1,1.45524346828461
UTP14A,1.45334827899933
CST6,1.45309638977051
HPCAL1,1.44327354431152
URB2,1.4389796257019
LOXL3,1.436119556427
SCFD2,1.43490016460419
BNIP3,1.4348384141922
LYAR,1.43335402011871
NGEF,1.42941856384277
HSPA8,1.42590296268463
DUSP6,1.42442739009857
NTMT1,1.42251014709473
RRS1,1.42203748226166
TUBA1B,1.42055249214172
ZMYND19,1.41592574119568
SPANXD,1.41500759124756
SAAL1,1.41272592544556
HSPH1,1.40780305862427
HGH1,1.4075710773468
CHAC2,1.40013575553894
ROM1,1.39443850517273
NDUFAF2,1.39076721668243
NPM3,1.38670790195465
HPRT1,1.38406276702881
SNHG15,1.38307762145996
PHLDA2,1.38255417346954
KLHL7-AS1,1.38198959827423
SLC29A1,1.3781201839447
SLC6A8,1.37725102901459
RP11-416N2.4,1.37250864505768
CCT7,1.37152755260468
TRMT6,1.37070751190186
KLK5,1.37049102783203
RP11-132A1.4,1.36898338794708
PGAM5,1.3680614233017
UBE2S,1.36512231826782
SACS,1.36375606060028
TBC1D4,1.36260592937469
PITPNC1,1.36207461357117
DUSP4,1.3618655204773
INHBA,1.35972332954407
PTGES2,1.35492324829102
NDUFAF4,1.35339105129242
CFD,1.34557223320007
PPAT,1.34034419059753
RNASEH1-AS1,1.33962166309357
NEFH,1.33692693710327
STC2,1.33656251430511
CLSPN,1.3346928358078
SH2B3,1.33297669887543
DCBLD2,1.3308253288269
ABCA10,1.32964169979095
PUS1,1.3263932466507
HNRNPAB,1.32530689239502
SDCCAG3,1.32116270065308
EEF2KMT,1.32008326053619
WNT7A,1.31979238986969
MAP7D3,1.31977248191834
LINC00176,1.31914889812469
CKB,1.31758236885071
NAV3,1.3174170255661
PSMD14,1.31675183773041
QPCT,1.31432819366455
MEIOC,1.31279373168945
TOMM40,1.30963170528412
TAF5,1.30890047550201
HSPD1,1.30802845954895
CTC-524C5.2,1.30514228343964
TUBB4B,1.30412077903748
AIMP2,1.30341970920563
ST6GALNAC4,1.30338001251221
ENDOG,1.30105447769165
ACOT7,1.29834401607513
PDK1,1.29718470573425
CDC42EP5,1.2965362071991
NOP56,1.29200875759125
MTHFD2,1.28932988643646
CDC45,1.28870761394501
WDR43,1.2874059677124
MROH6,1.28599524497986
AFAP1L1,1.28302645683289
RP11-180O5.2,1.281623005867
SURF2,1.28087365627289
NOC3L,1.2804182767868
RABEPK,1.28040385246277
PNPT1,1.27912187576294
ADAT2,1.27728199958801
DOCK10,1.27594292163849
RPF2,1.27447271347046
SLC5A6,1.27383947372437
URB1,1.27279376983643
F3,1.27083683013916
MFSD12,1.26851987838745
MRPL17,1.26501941680908
VARS,1.26374065876007
GALNT14,1.26223528385162
RRP9,1.25804698467255
C9orf40,1.25770127773285
ME3,1.2560293674469
RRM2,1.25539362430573
PRADC1,1.25425696372986
FKBP5,1.25401628017426
NIFK,1.25084578990936
SLC25A10,1.25047767162323
OXNAD1,1.24774610996246
PDCD11,1.24764907360077
CYSRT1,1.24652481079102
SLC25A33,1.24546933174133
ATG16L1,1.24315440654755
MAP6D1,1.2430682182312
DUSP5,1.23923051357269
ZNF296,1.23897635936737
RP11-92G12.3,1.2367045879364
TUBA1C,1.23510456085205
MPP1,1.23444950580597
LINC01029,1.23283398151398
PINX1,1.227952003479
FKBP4,1.22549593448639
FAM27C,1.22519981861115
IKBKG,1.2218986749649
TWISTNB,1.22106826305389
SLC19A1,1.22031283378601
CCT6A,1.21784615516663
POLE3,1.21591174602509
MARC1,1.21583199501038
WDR77,1.21470308303833
BCYRN1,1.2144535779953
RRP12,1.21140015125275
IL1B,1.2092924118042
PSMA1,1.20885181427002
PGP,1.20646977424622
SFXN4,1.20608413219452
ODC1,1.20580947399139
C1QBP,1.20182991027832
TSEN2,1.20041739940643
EREG,1.1978212594986
OXCT2,1.19707107543945
ATAD3A,1.19639897346497
DSEL,1.19396114349365
HBEGF,1.19375443458557
USP2-AS1,1.19337165355682
HEATR3,1.19258689880371
HHEX,1.19196701049805
TMEM255B,1.19179129600525
CENPP,1.19133794307709
TRAF2,1.18994534015656
LINC01615,1.18915331363678
RNF208,1.18808364868164
CTD-2366F13.1,1.18795192241669
WDR5,1.18553984165192
UTP4,1.18437159061432
HSP90AA1,1.18342185020447
RELL2,1.1829206943512
NOLC1,1.18251526355743
MAGEA6,1.18197524547577
ZNF787,1.18146419525146
FAM216A,1.18029642105103
NAT10,1.17905128002167
GYLTL1B,1.17871463298798
DNAJC9,1.17664003372192
PAICS,1.17651891708374
TIGAR,1.17555129528046
CENPV,1.17465567588806
LTV1,1.17348027229309
FAM86C1,1.1730500459671
ERVMER34-1,1.17070055007935
EXOSC9,1.1704124212265
CHCHD4,1.16822481155396
HSPA9,1.16814351081848
XRCC3,1.16633284091949
IFRD2,1.16588509082794
KHDC1L,1.16575992107391
SSB,1.16517162322998
BIN1,1.16180396080017
RELT,1.16164696216583
MYBBP1A,1.16058778762817
NUP188,1.15992259979248
SLC25A15,1.15900373458862
BDNF,1.15721237659454
PRRX2,1.15710961818695
CTNNAL1,1.15654337406158
MPP6,1.15523982048035
UCHL3,1.1550567150116
EFHD2,1.15380394458771
CD74,1.15317153930664
CCDC9,1.14979875087738
POLR3K,1.14862060546875
TEX30,1.14760303497314
SLC25A19,1.14757108688355
TRMT61A,1.14717197418213
TAF10,1.14577341079712
AKAP12,1.14574503898621
WDR4,1.14384937286377
NCLN,1.14205574989319
CCND3,1.14183247089386
FAR1,1.1411247253418
CHORDC1,1.14034926891327
NAPRT,1.13900256156921
EXOSC2,1.1371248960495
MRPS25,1.13662028312683
TM4SF19,1.13624024391174
AIFM2,1.13588833808899
ERVMER61-1,1.13564085960388
STIP1,1.13388001918793
TFAP2E,1.13380765914917
CTU1,1.13348841667175
MPV17L2,1.1327451467514
PSMC3IP,1.13172090053558
FANCD2,1.13168692588806
GRWD1,1.13120019435883
MRTO4,1.13003849983215
SLIT2,1.12961447238922
ASUN,1.12909579277039
HSPE1,1.12834739685059
FEN1,1.12718069553375
MCM10,1.12672340869904
CKMT1B,1.12631046772003
EIF3B,1.12423408031464
P3H2,1.1234872341156
ATP11C,1.1228129863739
HMGA1,1.12266743183136
PLCB2,1.12252473831177
TRIB3,1.1220942735672
CUTC,1.12090814113617
ECE2,1.11898899078369
TNFAIP3,1.1189638376236
ORC6,1.11826145648956
CPNE8,1.11740207672119
WDR3,1.11692523956299
PDHX,1.11617863178253
SLC25A22,1.11617076396942
LRFN4,1.11520540714264
PRMT3,1.11508178710938
COA7,1.1145601272583
VBP1,1.11397981643677
HAT1,1.11324989795685
TIMM8A,1.11306273937225
ADAP1,1.11264395713806
CD44,1.10994112491608
SLC6A6,1.1092334985733
MON1A,1.10774183273315
FAM20C,1.10738265514374
RP11-445F12.1,1.10713076591492
RRP1,1.10707330703735
CTAG2,1.10612332820892
METTL8,1.10573196411133
AVEN,1.10489189624786
CCDC85B,1.10487294197083
DDX39A,1.10397756099701
SLCO4A1,1.10337829589844
NRG1,1.10062181949615
DENND1A,1.10022819042206
NETO2,1.10008895397186
PA2G4,1.0998055934906
ESPN,1.09620654582977
PUM3,1.09594261646271
MAGEA3,1.09518277645111
AIFM1,1.0951099395752
ASRGL1,1.09510743618011
HOXD13,1.09282052516937
FXN,1.0928041934967
PSAT1,1.09118986129761
LETM1,1.09111928939819
L3HYPDH,1.0909366607666
CMSS1,1.08841145038605
C9orf114,1.08799302577972
FAM25A,1.08780932426453
HMX1,1.0870988368988
MAD2L1,1.08634030818939
ARPC5L,1.0857572555542
MCUR1,1.08491563796997
EIF2S1,1.08241534233093
PRPF19,1.08231699466705
CXCL2,1.08004450798035
AMZ1,1.07995140552521
AC013461.1,1.07995128631592
TFAM,1.07993912696838
UTP15,1.07966065406799
BCS1L,1.07932186126709
EDEM1,1.07870519161224
PODXL,1.07685875892639
GLRX2,1.07616567611694
UBE2M,1.07486748695374
RAD18,1.07328927516937
DPM2,1.07306826114655
LDHA,1.07263100147247
TSR1,1.07193887233734
NPB,1.07162129878998
LDOC1,1.07075810432434
BCCIP,1.06962990760803
CRACR2B,1.06861186027527
EMD,1.065070271492
IMP4,1.06495082378387
LOXL2,1.06136357784271
TSPAN4,1.05804491043091
PSMD1,1.0578351020813
STX2,1.05765306949615
