signature,log2FC
MAP2K6,-4.2207498550415
EDIL3,-3.24016618728638
IVL,-2.97262859344482
LINC01419,-2.82649922370911
WIPI1,-2.54528665542603
NUPR1,-2.40945386886597
MMP13,-2.3323700428009
ATF3,-2.29677057266235
PLCE1,-2.07609510421753
CALCOCO1,-2.01994919776917
ELF3,-1.88701784610748
AC006262.5,-1.84658777713776
RARRES3,-1.83491134643555
C1orf21,-1.82931387424469
UNC5B-AS1,-1.81046915054321
PBX1,-1.77489244937897
TNFSF10,-1.74049305915833
VGLL1,-1.67083311080933
PRSS22,-1.65607237815857
BHLHE41,-1.65047311782837
MAP2,-1.64890944957733
FAM3B,-1.63613629341126
LCN2,-1.61167848110199
LUZP2,-1.56144213676453
UPK3B,-1.55703282356262
DLGAP1-AS1,-1.55047595500946
EDN1,-1.54783499240875
HIST1H1B,-1.5368264913559
BMP4,-1.52774322032928
FBXO32,-1.52698469161987
UPK2,-1.50568628311157
SORBS2,-1.49673140048981
HIST1H1A,-1.48479390144348
RABGAP1L,-1.47292160987854
FOS,-1.4635978937149
KRT4,-1.45164477825165
PLCD1,-1.44633901119232
RP11-20D14.6,-1.42952013015747
HIST1H1D,-1.42025136947632
KRT16,-1.39393150806427
DHRS3,-1.35901618003845
MNS1,-1.2884703874588
CTSH,-1.28553140163422
GPNMB,-1.27552461624146
WFDC2,-1.26357436180115
MIR193BHG,-1.25845062732697
CCDC80,-1.24866211414337
KRT13,-1.23121237754822
FN1,-1.21378672122955
HIST1H1E,-1.21374499797821
NCF2,-1.19743382930756
NUAK1,-1.19302129745483
INSIG1,-1.18968534469605
SLFN5,-1.18669021129608
H1F0,-1.1415468454361
COL5A2,-1.13818371295929
CCNG2,-1.13703167438507
SORL1,-1.13690340518951
NEAT1,-1.13623011112213
HCAR2,-1.13605308532715
BTG2,-1.1327131986618
HIST2H2AC,-1.12845027446747
SCD,-1.11269128322601
DUSP1,-1.11245918273926
OAS1,-1.11137199401855
ZNF704,-1.11086010932922
HBP1,-1.11049246788025
TLE4,-1.1068389415741
OLR1,-1.10403800010681
NEDD9,-1.08381700515747
AGR2,-1.06709420681
KLHL20,-1.06374931335449
AKR1C2,-1.06194257736206
ALDH3B1,-1.04869079589844
C21orf58,-1.0413498878479
CTGF,-1.02607405185699
SOSTDC1,-1.02211618423462
VIT,-1.02076947689056
